<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20111118,000000,181.00000,182.39000,179.93000,180.01000,57084100
GAZP,D,20111121,000000,177.97000,178.19000,168.92000,169.75000,80749970
GAZP,D,20111122,000000,170.05000,173.78000,167.81000,169.00000,72536120
GAZP,D,20111123,000000,167.00000,171.95000,165.88000,167.70000,85377260
GAZP,D,20111124,000000,167.34000,169.68000,165.66000,166.00000,40949750
GAZP,D,20111125,000000,165.33000,166.69000,161.84000,166.28000,62828020
GAZP,D,20111128,000000,168.08000,172.03000,167.80000,171.98000,61304450
GAZP,D,20111129,000000,172.98000,173.99000,170.22000,170.89000,54921520
GAZP,D,20111130,000000,170.30000,175.87000,168.40000,174.90000,85534780
GAZP,D,20111201,000000,176.11000,184.40000,175.01000,181.49000,136487040
GAZP,D,20111202,000000,183.00000,186.69000,180.07000,183.52000,114150040
GAZP,D,20111205,000000,183.85000,185.45000,182.06000,184.60000,44441980
GAZP,D,20111206,000000,183.00000,184.45000,174.43000,175.57000,106387430
GAZP,D,20111207,000000,176.49000,177.09000,172.41000,174.70000,101030530
GAZP,D,20111208,000000,175.99000,179.92000,175.58000,177.20000,87397230
GAZP,D,20111209,000000,173.99000,173.99000,170.00000,170.45000,90744780
GAZP,D,20111212,000000,172.50000,173.50000,163.80000,164.42000,80724270
GAZP,D,20111213,000000,163.93000,168.15000,160.10000,166.86000,92801500
GAZP,D,20111214,000000,165.66000,170.46000,164.12000,164.90000,81369690
GAZP,D,20111215,000000,162.51000,172.18000,161.86000,170.97000,100626080
GAZP,D,20111216,000000,172.09000,173.41000,169.07000,169.51000,63872090
GAZP,D,20111219,000000,168.37000,168.38000,165.56000,166.30000,53501640
GAZP,D,20111220,000000,165.85000,172.97000,163.55000,172.55000,74513120
GAZP,D,20111221,000000,173.48000,173.95000,169.00000,169.78000,73895200
GAZP,D,20111222,000000,169.89000,171.89000,168.31000,170.82000,46503050
GAZP,D,20111223,000000,171.52000,172.50000,169.27000,169.71000,34963200
GAZP,D,20111226,000000,170.59000,171.68000,169.50000,171.53000,19969730
GAZP,D,20111227,000000,171.40000,171.69000,168.89000,170.75000,21486710
GAZP,D,20111228,000000,170.12000,171.49000,169.15000,169.47000,23370920
GAZP,D,20111229,000000,168.77000,170.77000,165.34000,170.60000,37801180
GAZP,D,20111230,000000,170.90000,172.13000,169.06000,171.36000,24601610
GAZP,D,20120103,000000,172.53000,177.60000,172.22000,177.50000,24847160
GAZP,D,20120104,000000,177.55000,178.10000,175.00000,176.91000,25240160
GAZP,D,20120105,000000,177.01000,179.37000,175.40000,177.20000,36916460
GAZP,D,20120106,000000,177.00000,178.72000,176.11000,176.20000,21350190
GAZP,D,20120109,000000,175.95000,177.57000,174.33000,177.27000,25066970
GAZP,D,20120110,000000,177.92000,179.99000,177.51000,179.61000,43932230
GAZP,D,20120111,000000,178.86000,179.40000,176.38000,178.10000,46132590
GAZP,D,20120112,000000,178.48000,180.82000,177.04000,177.74000,55222270
GAZP,D,20120113,000000,178.30000,179.60000,177.28000,178.84000,41619000
GAZP,D,20120116,000000,177.45000,178.83000,175.85000,178.50000,30826390
GAZP,D,20120117,000000,179.67000,182.28000,179.17000,181.80000,52633950
GAZP,D,20120118,000000,181.32000,183.20000,180.00000,182.90000,45348620
GAZP,D,20120119,000000,183.85000,186.29000,182.82000,185.50000,64519060
GAZP,D,20120120,000000,186.05000,186.68000,183.05000,183.48000,47926660
